user_id,name,age,gender,education,location,skills,channel
40,Deborah Leonard,48,Male,BCom,Firozpur,hr,WordOfMouth
41,Dana Martin,40,Female,Diploma,Amritsar,communication;marketing;django;project_management;nlp;nodejs,Newspaper
42,Richard Kim,31,Other,Diploma,Firozpur,hr;flask;aws;ml;sql,Govt_Website
43,Ashley Diaz,19,Other,MSc,Jalandhar,aws;flask;communication;nlp;dl;hr,Newspaper
44,Anne Strickland,50,Male,MBA,Patiala,aws;ml;accounting,Govt_Website
45,James Mendez,22,Male,MSc,Chandigarh,nlp;django;sales;communication,Govt_Website
46,Maria Davis,27,Female,BSc,Chandigarh,nlp;kubernetes;react;java;ml,Govt_Website
47,Colin Harris,44,Male,BA,Chandigarh,accounting;java;docker;communication;ml,WhatsApp
48,Regina Dyer,29,Other,BTech,Bathinda,sql;marketing,WhatsApp
49,Kenneth Thomas,26,Male,Diploma,Firozpur,nodejs;c++;project_management;react,WhatsApp
50,Sarah Lewis,27,Female,BA,Bathinda,docker;ml;aws;sales;accounting;nodejs,WordOfMouth
51,Cynthia Curry,47,Male,High School,Jalandhar,c++;marketing;nlp;sql;python;nodejs,WhatsApp
52,Brandon Nielsen,38,Female,High School,Patiala,accounting;nodejs;ml;sql;docker;django,Referral
53,Casey Brown,54,Male,BSc,Chandigarh,c++;nodejs,Govt_Website
54,Lee Davidson,21,Female,Diploma,Patiala,sql;django;flask;marketing;accounting,WhatsApp
55,John Ward,52,Other,BCom,Ludhiana,java,Referral
56,Austin Williams,21,Male,BSc,Amritsar,hr;flask;nlp,Referral
57,Kyle Elliott,27,Female,BCom,Amritsar,accounting;dl;marketing;project_management;excel,Newspaper
58,Donald Shepherd,48,Male,BTech,Ludhiana,kubernetes;java;marketing;sales;c++,Newspaper
59,Allison Cruz,23,Female,MBA,Jalandhar,django,Newspaper
60,Michelle Arellano,26,Male,High School,Jalandhar,docker;sales;kubernetes;excel;java;dl,WordOfMouth
61,Michael Roberts,32,Female,BTech,Jalandhar,c++;python;ml;accounting,Facebook
62,Brittany Evans,31,Other,MBA,Jalandhar,sales;c++,WhatsApp
63,William Flores,43,Female,MBA,Firozpur,docker;sql;ml;python;accounting;react,Facebook
64,Christopher Freeman,46,Other,High School,Patiala,c++;excel;sales;aws,Govt_Website
65,Andrea Aguirre,34,Female,MBA,Amritsar,java;docker,Govt_Website
66,Michelle Gardner,31,Female,High School,Firozpur,java;ml;django;sql;docker,WhatsApp
67,Amy Sherman,34,Other,MBA,Bathinda,ml;django;java;kubernetes;nlp,WhatsApp
68,James Ortiz,48,Male,BA,Amritsar,java;hr;ml,Referral
69,John Cross,51,Other,BCom,Hoshiarpur,sales;docker,Govt_Website
70,Matthew Tucker,20,Female,BSc,Ludhiana,flask;docker;project_management,Facebook
71,Kevin Middleton,25,Male,BSc,Firozpur,kubernetes,Newspaper
72,Justin Herrera,41,Male,BCom,Mohali,kubernetes;project_management;sql;react;nodejs;nlp,Referral
73,Walter Jimenez,26,Female,BTech,Patiala,marketing;aws;nlp,Newspaper
74,Michael Martinez,45,Female,BSc,Firozpur,python;excel;marketing;nodejs;dl;c++,WordOfMouth
75,Karen Allen,29,Female,BA,Jalandhar,sales,Referral
76,Mrs. April Kennedy DVM,20,Other,BSc,Jalandhar,java;docker;excel;sql;ml;django,WhatsApp
77,Laurie Webb,20,Other,BTech,Amritsar,excel,WhatsApp
78,Melody Dickson,28,Male,Diploma,Patiala,react;python,WhatsApp
79,Susan Mack,32,Other,BA,Amritsar,aws;c++;project_management;sql;accounting,Facebook
80,Jeremy Hudson,48,Female,BTech,Jalandhar,react;nlp;communication;python;sales;ml,Referral
81,Judy Jacobs,44,Other,MSc,Chandigarh,dl;marketing;accounting,Govt_Website
82,Tonya Williamson,18,Male,BA,Mohali,nodejs;sql;excel,Referral
83,Joshua Butler,24,Other,MSc,Firozpur,dl;nodejs,WordOfMouth
84,Richard Jordan,19,Male,MSc,Amritsar,python;java;kubernetes;project_management,WhatsApp
85,Michael Stewart,35,Male,BTech,Bathinda,excel;python;project_management;java;sales,WhatsApp
86,Julie Leonard,40,Other,MSc,Bathinda,marketing;hr,WordOfMouth
87,Ashley Cohen,41,Female,High School,Mohali,hr;kubernetes;nodejs;django,WhatsApp
88,Crystal Warren,44,Male,Diploma,Firozpur,dl;nodejs;ml;nlp,WordOfMouth
89,Melvin Olson,45,Male,Diploma,Chandigarh,nlp;sales;aws;excel,Facebook
90,Michael Boyle,26,Other,High School,Mohali,project_management;django;communication;nlp,Referral
91,Robert Christensen,54,Female,BCom,Firozpur,kubernetes;communication,WordOfMouth
92,Jessica Carroll,21,Male,High School,Hoshiarpur,nodejs;project_management;flask,Referral
93,Jo Romero,52,Female,MSc,Bathinda,dl;nodejs,WhatsApp
94,Tracy Howard,22,Male,BTech,Jalandhar,marketing;nlp;django;hr;kubernetes;excel,Referral
95,Amanda Young,33,Other,MSc,Mohali,python;accounting;c++;dl;flask,WhatsApp
96,Matthew Sanchez,39,Female,BSc,Hoshiarpur,sql;c++;sales;flask;docker;react,Referral
97,Steve Burke,40,Other,MSc,Jalandhar,kubernetes;project_management;communication,Newspaper
98,Jennifer Higgins,36,Male,BSc,Mohali,dl;communication,Referral
99,John Aguilar,26,Female,Diploma,Patiala,accounting;java;dl;docker,Newspaper
100,Sandy Steele,43,Other,MSc,Amritsar,ml;nlp;django,Facebook
101,Robert Mccarthy,55,Male,High School,Bathinda,c++;ml;project_management,Referral
102,Angela Miller,45,Male,BA,Ludhiana,docker,Govt_Website
103,Richard Kelly,27,Male,MBA,Jalandhar,nlp;ml;project_management;nodejs;kubernetes;sql,WordOfMouth
104,Lisa Harrison,36,Female,High School,Mohali,nodejs;hr;communication,Govt_Website
105,Joshua Flores,40,Male,BA,Mohali,nodejs,WhatsApp
106,Regina Estrada,33,Other,BSc,Firozpur,aws,Govt_Website
107,Deborah Brown,36,Female,High School,Jalandhar,kubernetes,WhatsApp
108,Robert Roberts,42,Male,MSc,Mohali,kubernetes;accounting;ml,Referral
109,Leonard Gray,47,Female,MBA,Hoshiarpur,react;aws;project_management;dl;marketing;hr,Referral
110,Kimberly Short,46,Female,BSc,Firozpur,python;react;docker,Govt_Website
111,Angela Gonzalez,43,Female,High School,Amritsar,marketing;dl;django,Govt_Website
112,Betty Flores,27,Female,MSc,Bathinda,java;accounting;kubernetes,WhatsApp
113,Ashlee Gordon,37,Other,MSc,Patiala,nlp,Facebook
114,Charles Mcclure,37,Female,MBA,Chandigarh,flask,Facebook
115,Michael Taylor,39,Male,BA,Amritsar,java;accounting;nlp,Facebook
116,Yvonne Brock,51,Male,BTech,Patiala,accounting;django;nlp;nodejs;hr,Facebook
117,Nicole Schultz,53,Male,MSc,Hoshiarpur,sales,Facebook
118,Tyler Villarreal,27,Other,BCom,Hoshiarpur,ml,Govt_Website
119,Corey Grant,37,Female,BCom,Firozpur,kubernetes;nlp;accounting;react;marketing;project_management,Newspaper
120,Mrs. Melissa Nelson,24,Male,BA,Amritsar,project_management;sales;nlp;communication,Newspaper
121,Shelby Johnson,44,Male,MSc,Chandigarh,python;c++;django;marketing;nlp,Referral
122,Tyler Farmer,38,Other,MSc,Jalandhar,kubernetes;java,Referral
123,Jennifer Valdez,20,Other,BCom,Firozpur,dl;accounting,Referral
124,David Dorsey,47,Female,High School,Firozpur,c++;marketing,WhatsApp
125,Heidi Moore,22,Male,BTech,Ludhiana,nodejs;python,Facebook
126,Francis Gibson,45,Other,BSc,Bathinda,marketing,WhatsApp
127,Samantha Gonzalez,23,Male,MSc,Amritsar,accounting;nlp;react;java,WhatsApp
128,Brian Hernandez,26,Other,High School,Patiala,excel;react;sales,Facebook
129,Charles Butler,19,Other,Diploma,Amritsar,project_management;nodejs,Govt_Website
130,Lindsey Arias,20,Female,MBA,Mohali,aws;java;kubernetes,WordOfMouth
131,Kathleen Simpson,42,Female,MBA,Mohali,ml;django;dl,Facebook
132,Mitchell Adkins,52,Female,MSc,Amritsar,django,WordOfMouth
133,Tiffany Weber,45,Female,BSc,Jalandhar,project_management;sales;java;nlp;dl,Facebook
134,Jacob Ward,26,Male,BA,Ludhiana,sql;react;django;nlp;dl;flask,Newspaper
135,Shannon Parker,32,Other,Diploma,Bathinda,kubernetes;react;sql;nodejs,WordOfMouth
136,James Lynn,19,Male,BSc,Chandigarh,java;ml,Govt_Website
137,Renee Lane,34,Male,MBA,Patiala,hr,Facebook
138,Susan Serrano,43,Other,MBA,Bathinda,project_management;hr,Facebook
139,Stacy Mcgee MD,53,Male,BCom,Bathinda,java;docker,Referral
140,Douglas Hernandez,33,Male,BSc,Bathinda,java;docker;aws,WhatsApp
141,Daniel Walker,51,Other,BCom,Amritsar,c++;aws;communication;django,Govt_Website
142,James Barnett,41,Male,BA,Firozpur,aws,Newspaper
143,Christina Rosales,29,Male,MBA,Amritsar,nodejs;communication;marketing;accounting;sql,Referral
144,Jennifer Delgado,39,Female,BCom,Firozpur,dl,Referral
145,Stephanie Allen,27,Female,BA,Bathinda,sales;django;ml,WordOfMouth
146,Joshua Lane,38,Other,BSc,Firozpur,flask;project_management;communication;hr;python;django,Facebook
147,Gregory Lynch,24,Female,BCom,Amritsar,python,Facebook
148,Alan Pacheco,35,Male,BTech,Mohali,aws,Newspaper
149,Emily Dyer,24,Female,MBA,Chandigarh,nodejs;sql,Newspaper
150,Regina Mitchell,30,Other,BTech,Hoshiarpur,docker;sales;marketing;python;kubernetes,Referral
151,Jonathan Hampton,33,Male,High School,Amritsar,nlp;accounting;excel;sales;aws,Newspaper
152,Jonathan Cox,28,Female,Diploma,Jalandhar,kubernetes,Referral
153,Troy Brown,55,Other,BA,Bathinda,aws;sales,WhatsApp
154,Anthony Morales,28,Female,Diploma,Bathinda,c++;java,Govt_Website
155,Joshua Gill,25,Female,MBA,Firozpur,ml;flask;kubernetes;aws;c++,Referral
156,Robert Butler,52,Other,BSc,Firozpur,ml;dl;docker,Facebook
157,Abigail Smith,45,Female,High School,Hoshiarpur,nodejs,WhatsApp
158,Colleen Johnson,20,Female,BSc,Ludhiana,sales;excel;ml,Newspaper
159,William Jenkins,28,Male,BA,Mohali,nodejs,Facebook
160,Sandra Marsh,50,Male,BTech,Jalandhar,sql;dl;project_management;kubernetes;hr;aws,WordOfMouth
161,Stephanie Carroll,20,Male,MBA,Bathinda,nodejs,WordOfMouth
162,Zachary Nguyen,18,Female,BSc,Mohali,aws,Newspaper
163,Victoria Kim,23,Other,BSc,Jalandhar,excel;marketing;communication;hr;react;sql,WhatsApp
164,Stephanie Robinson,31,Other,Diploma,Patiala,marketing;django,Govt_Website
165,Daniel Scott,19,Male,BA,Chandigarh,django;flask,Govt_Website
166,Philip Bush,55,Female,BSc,Firozpur,react;sql;dl;hr;docker;django,Facebook
167,Terri Nelson,30,Male,MSc,Amritsar,accounting;kubernetes,WordOfMouth
168,Rita Howard,48,Female,High School,Jalandhar,communication,WordOfMouth
169,Haley Baker,43,Male,BCom,Hoshiarpur,nodejs;marketing;dl;hr,Facebook
170,Joseph Church,29,Other,BA,Jalandhar,project_management,Referral
171,Thomas Walker,35,Other,High School,Amritsar,marketing;communication;aws;nlp,Govt_Website
172,Juan Cook,27,Male,BSc,Chandigarh,flask,Newspaper
173,Theodore Vasquez,24,Other,High School,Bathinda,project_management;aws;dl,Govt_Website
174,Jordan Washington,26,Female,High School,Patiala,dl;nodejs;ml;hr;accounting;kubernetes,WordOfMouth
175,Lisa Mann,29,Other,BSc,Ludhiana,python;marketing,Govt_Website
176,Jason Riddle,33,Male,BA,Jalandhar,project_management;nodejs;ml,Referral
177,John Jones,26,Other,MSc,Ludhiana,flask;marketing;hr;dl;communication;sql,Facebook
178,Erika Harvey,47,Male,BTech,Amritsar,python;nodejs;nlp;flask;dl;sql,WhatsApp
179,Alex Ellison,43,Male,MBA,Bathinda,flask,WordOfMouth
180,Kevin Jordan,41,Female,MSc,Amritsar,project_management;ml;nlp;aws;flask;java,WordOfMouth
181,Katie Fitzpatrick,46,Female,BSc,Mohali,communication;excel;django;c++,Newspaper
182,Betty Mercado,31,Male,MBA,Amritsar,react;ml,Referral
183,James Cline,44,Female,BSc,Jalandhar,dl;hr,Govt_Website
184,Amanda Perez,42,Other,MSc,Amritsar,python;excel;aws;sales;nlp,WordOfMouth
185,Matthew Perez,55,Male,MSc,Ludhiana,django;docker;sql,Referral
186,Brandon Stewart,46,Female,MBA,Firozpur,kubernetes;java,Govt_Website
187,Albert Weaver,30,Male,Diploma,Mohali,marketing;accounting;communication;sql,WordOfMouth
188,Dr. Julie Krueger,52,Female,Diploma,Jalandhar,sql,WhatsApp
189,Lisa Mason,20,Other,BA,Firozpur,accounting;django,Govt_Website
190,Wanda Robinson,47,Male,Diploma,Chandigarh,django;react;nodejs;c++;ml;flask,Referral
191,Pamela Peterson,28,Male,BTech,Chandigarh,django;nodejs,Newspaper
192,Nancy Robbins,37,Female,MBA,Amritsar,kubernetes;accounting;flask;aws;react;sales,Govt_Website
193,Patrick Mcclure,48,Other,MBA,Mohali,excel,Referral
194,Deanna Thompson,19,Male,BCom,Bathinda,flask;excel;ml,Govt_Website
195,Jonathan Juarez,50,Male,BTech,Hoshiarpur,marketing;react;docker;ml;sales;hr,Facebook
196,Sara Thomas,49,Other,BSc,Patiala,nlp;aws;sql;java,Facebook
197,Christine Hall,34,Male,MBA,Firozpur,python,WhatsApp
198,Shannon Thornton,41,Male,BTech,Firozpur,marketing;excel;docker;ml;project_management,Govt_Website
199,James Rogers,29,Other,Diploma,Firozpur,flask;aws,Govt_Website
200,Brooke Moon,34,Other,BTech,Ludhiana,react;flask;python;project_management;java,Referral
201,Matthew Durham,37,Male,BTech,Bathinda,python;java;django,Facebook
202,Kenneth Cook DDS,47,Other,BSc,Hoshiarpur,c++;aws;project_management;marketing;flask,Govt_Website
203,Douglas Griffith,23,Female,MSc,Jalandhar,excel;kubernetes;accounting,WhatsApp
204,Lori Ingram,21,Male,BCom,Bathinda,django;communication;marketing,Referral
205,Heather Taylor,29,Other,BSc,Chandigarh,nlp;excel,Newspaper
206,Samantha Mendoza,28,Female,BA,Hoshiarpur,accounting;c++;ml;nodejs,WhatsApp
207,Melissa Haynes,28,Female,BSc,Chandigarh,sales;excel,WordOfMouth
208,Shannon Bell,18,Other,MBA,Chandigarh,aws;ml;c++,Referral
209,Adrian Reed,20,Other,BCom,Hoshiarpur,nodejs;dl;sql,Newspaper
210,Melissa Morrison,54,Female,Diploma,Jalandhar,java,WhatsApp
211,Mr. Matthew Carter,35,Female,Diploma,Jalandhar,ml;communication;react;docker,WordOfMouth
212,Gregory Murillo,52,Female,MSc,Hoshiarpur,sales;project_management;flask;communication;sql,WhatsApp
213,Cameron Davis,53,Female,High School,Hoshiarpur,sales;nodejs;django;accounting;c++,Govt_Website
214,Amy Maldonado,26,Male,BTech,Chandigarh,aws;communication;dl,Facebook
215,Steven Cruz,33,Other,Diploma,Hoshiarpur,marketing;accounting,WordOfMouth
216,Phyllis Smith,20,Male,BCom,Firozpur,docker;marketing;communication,Newspaper
217,Craig Mendoza,34,Male,BA,Bathinda,marketing;python;accounting;ml;nodejs;docker,Newspaper
218,Elizabeth Harris,43,Other,Diploma,Chandigarh,hr;django;aws;project_management;c++;kubernetes,Facebook
219,Catherine Walker,49,Male,MBA,Hoshiarpur,kubernetes;accounting;excel,WordOfMouth
220,George Moore,32,Male,BTech,Hoshiarpur,excel;java;dl,Newspaper
221,Travis Dillon,29,Female,BCom,Bathinda,project_management;accounting;aws;flask,WhatsApp
222,Joseph Lewis,38,Female,MBA,Jalandhar,react,Referral
223,Albert Wood,55,Other,BA,Bathinda,kubernetes;flask;react;java,WordOfMouth
224,William Brown,18,Female,Diploma,Patiala,kubernetes,WhatsApp
225,Alexander Chan,37,Other,High School,Hoshiarpur,project_management,Referral
226,Ashley Gray,51,Female,Diploma,Jalandhar,accounting,Referral
227,Frank Waller,51,Female,MSc,Bathinda,communication;nodejs;nlp;project_management;accounting;excel,Govt_Website
228,Julie Whitehead,33,Male,BSc,Jalandhar,kubernetes;django;accounting,Referral
229,Diana Rice,41,Male,MSc,Bathinda,c++;accounting;docker,WordOfMouth
230,Joanna Butler,46,Male,MSc,Chandigarh,django;c++;java;docker;communication;kubernetes,Govt_Website
231,Brett Wallace,45,Other,MBA,Jalandhar,communication,Facebook
232,Alicia Carter,36,Other,MSc,Hoshiarpur,python,Referral
233,Carrie Olson,27,Other,BCom,Hoshiarpur,sales;project_management;nlp;accounting;docker,WhatsApp
234,Lisa Thomas,53,Other,MSc,Jalandhar,project_management;c++;java,Govt_Website
235,Stephanie Bell,25,Female,Diploma,Firozpur,java;django,Newspaper
236,Shannon Harvey,49,Other,Diploma,Patiala,communication;nodejs;c++;dl;ml,Facebook
237,Katelyn Ruiz,33,Female,BSc,Firozpur,nlp,Govt_Website
238,Karen Anderson,44,Other,High School,Hoshiarpur,accounting;hr,Facebook
239,Shane Nguyen,33,Female,BSc,Mohali,python;aws;accounting;excel,Referral
240,Cheryl Rhodes,49,Male,High School,Bathinda,excel;marketing;sales;ml;dl,Facebook
241,Katie Nelson,23,Other,BSc,Chandigarh,project_management;django;python;marketing,Newspaper
242,Crystal Smith,32,Female,Diploma,Ludhiana,nodejs,Govt_Website
243,Andrew Smith,23,Female,MSc,Mohali,sql;react,WhatsApp
244,Eric Gay,41,Other,BCom,Hoshiarpur,flask;django;excel;nodejs;nlp,WordOfMouth
245,Katherine Nielsen,49,Other,High School,Mohali,excel,Govt_Website
246,Kathleen Campbell,44,Other,BCom,Ludhiana,sql,WordOfMouth
247,Jonathan Durham,29,Female,Diploma,Chandigarh,excel;communication;nlp,WordOfMouth
248,John Evans,52,Other,BSc,Firozpur,python;django;react;ml;nlp;aws,Govt_Website
249,Kimberly Williams,43,Male,BCom,Mohali,python;docker;c++;hr,Newspaper
250,Thomas Allen,30,Other,BSc,Patiala,python;java;hr,Govt_Website
251,Frank Jackson,41,Female,BA,Firozpur,hr;c++;project_management,WhatsApp
252,Bryan Dillon,19,Female,BTech,Firozpur,kubernetes;sales;react,Newspaper
253,Jessica Zhang,38,Other,BSc,Patiala,ml;docker;flask;c++;nodejs,WordOfMouth
254,Alan Garcia,55,Male,BSc,Ludhiana,communication;c++;nodejs;ml;python;excel,WhatsApp
255,Tammy Henry,41,Other,BTech,Firozpur,react;sales;nlp;marketing;kubernetes;excel,Newspaper
256,Jerry Graham,23,Other,High School,Bathinda,nlp;accounting;docker;sql,WordOfMouth
257,William Thomas,47,Male,MSc,Hoshiarpur,c++;flask;aws;excel;hr,Facebook
258,Jeffrey Stewart,51,Other,MSc,Firozpur,dl;hr;docker;kubernetes;excel,Facebook
259,Billy Atkinson,32,Male,BA,Mohali,django;nlp;kubernetes;dl,Newspaper
260,Randy Mcdonald,49,Male,High School,Hoshiarpur,sql;django;project_management;ml;python;java,WordOfMouth
261,Ricky Nelson,29,Other,MBA,Hoshiarpur,python;project_management;sql;flask,Facebook
262,Michael Rollins,47,Male,BSc,Chandigarh,c++;sales;python;django,WhatsApp
263,Heather Moore,18,Other,MSc,Amritsar,aws;sales;flask;nodejs;project_management;communication,Newspaper
264,Andrea Silva,24,Female,BCom,Mohali,sql;aws,Referral
265,Kelsey Kelly,48,Other,BCom,Patiala,excel;nodejs;project_management;docker,Referral
266,Mr. Bradley Kirk,41,Other,BCom,Ludhiana,communication;java;hr,Newspaper
267,Nicholas Mcknight,38,Female,MSc,Amritsar,react;excel;java;marketing;nodejs,Newspaper
268,Ashley Butler,52,Other,MBA,Ludhiana,hr;python;sales,WordOfMouth
269,Christopher Moran,53,Male,Diploma,Amritsar,hr;python;project_management;accounting;flask,Facebook
270,Andrea Hansen,51,Male,MBA,Mohali,nlp;django;ml;kubernetes;sales;dl,WordOfMouth
271,Ronald Barker,46,Male,MSc,Jalandhar,aws,WordOfMouth
272,Jessica Rodriguez,51,Female,Diploma,Patiala,flask,Referral
273,Julia Johnson,28,Female,BSc,Patiala,sql;django;python;flask,Referral
274,Brian Harper,40,Other,BA,Patiala,hr;aws,Govt_Website
275,Shannon Mcdowell,43,Female,BSc,Bathinda,django,Newspaper
276,Michelle Barrett,40,Female,MSc,Amritsar,excel;java,Facebook
277,Elizabeth Burns,34,Female,High School,Hoshiarpur,dl;django;excel,Govt_Website
278,Jennifer Watson,42,Male,MSc,Firozpur,dl;project_management;django;communication;c++;sql,WordOfMouth
279,Anthony Williams,20,Male,BCom,Ludhiana,marketing,WhatsApp
280,George Cox,30,Female,BSc,Bathinda,nodejs,WhatsApp
281,Shannon Lane,46,Other,BTech,Hoshiarpur,django;docker,Referral
282,Donald Edwards,27,Other,Diploma,Hoshiarpur,python;hr;excel,WhatsApp
283,Michael Scott,45,Other,BCom,Amritsar,flask;nlp;ml,Govt_Website
284,Ann Greene,55,Female,BA,Jalandhar,dl;communication,Referral
285,Crystal Blair,24,Male,MBA,Jalandhar,communication;dl;hr,Govt_Website
286,Paul Jimenez,23,Other,BCom,Hoshiarpur,django,Facebook
287,James Owens,48,Female,MBA,Ludhiana,sales;ml,Newspaper
288,Cheryl Johnson,30,Male,High School,Patiala,accounting;java,Govt_Website
289,Julian Wagner,27,Other,BTech,Bathinda,sql,Facebook
290,Chase Wilson,29,Male,Diploma,Ludhiana,sales;kubernetes;marketing;django;hr,WordOfMouth
291,David Lee,26,Other,BSc,Amritsar,python,Referral
292,Tyler Robinson,30,Male,BTech,Firozpur,sql;aws,Newspaper
293,Patrick Dickson,42,Male,High School,Chandigarh,ml;aws,WordOfMouth
294,Patrick Reese,25,Female,MBA,Firozpur,marketing;aws;project_management;python,Newspaper
295,Amy York,31,Female,BA,Chandigarh,dl,Facebook
296,Adrian Jones,48,Male,BA,Amritsar,marketing;sql;ml;communication;java,Referral
297,Christopher Lamb,21,Male,MSc,Chandigarh,ml,Referral
298,Jean Martinez,33,Male,BSc,Firozpur,kubernetes;django;dl;nlp;python;sales,Newspaper
299,Anthony Raymond,54,Male,Diploma,Mohali,ml;java,Newspaper
300,Kristin Scott,25,Other,MSc,Firozpur,sql;hr,Govt_Website
301,Kimberly Bryant,22,Male,MBA,Ludhiana,java;docker;python,Facebook
302,Kelly Davis,53,Other,Diploma,Ludhiana,aws;accounting;react;nlp;excel;project_management,Newspaper
303,Samantha Moss,20,Female,High School,Mohali,nlp;nodejs;docker;java;django,WordOfMouth
304,Deborah Tucker,19,Other,BCom,Chandigarh,kubernetes;react;communication;sql;flask,Govt_Website
305,Courtney Cuevas,39,Other,BTech,Firozpur,flask;hr;marketing,WhatsApp
306,Christina Sanchez,34,Other,Diploma,Patiala,aws;django;accounting;dl;marketing,WhatsApp
307,Holly Hall,20,Female,Diploma,Jalandhar,sql;dl;nodejs;python;project_management;marketing,Newspaper
308,Justin Edwards,50,Other,High School,Mohali,aws;python;flask;nlp;ml;docker,WordOfMouth
309,Michelle Keller,23,Male,MSc,Hoshiarpur,nodejs;django,WordOfMouth
310,Sheila Barber,29,Other,BA,Bathinda,hr,WordOfMouth
311,Joseph Mcdaniel,18,Male,Diploma,Jalandhar,django;communication;nodejs;kubernetes;accounting,Facebook
312,Laura Clark,25,Female,MBA,Jalandhar,docker;sales,Govt_Website
313,Beth Webb,41,Male,BTech,Hoshiarpur,python;accounting,WordOfMouth
314,Amber Russell,29,Female,High School,Mohali,python;marketing,WordOfMouth
315,Kathleen Lopez,40,Other,BA,Hoshiarpur,kubernetes;c++;sql;nlp;dl;django,Facebook
316,Scott Parker,40,Male,BA,Bathinda,c++;java,Govt_Website
317,Patricia Buckley,52,Other,MSc,Patiala,communication;aws,Referral
318,Bruce Thompson,53,Other,BCom,Mohali,c++,Govt_Website
319,Deborah Hopkins,42,Other,MBA,Ludhiana,sales;sql,Govt_Website
320,Michelle Williams,38,Male,MBA,Bathinda,hr;django;communication;c++;react,Facebook
321,Tyler Smith,42,Male,BTech,Firozpur,nodejs;excel;flask;hr;ml,WordOfMouth
322,John Robinson,52,Other,MSc,Ludhiana,kubernetes;accounting;docker;sales,WhatsApp
323,Diana Jordan,40,Male,BCom,Chandigarh,python;aws;marketing;dl;java,Facebook
324,Gina Boyd,36,Male,BSc,Bathinda,aws;communication;docker;sql;ml;react,WordOfMouth
325,James Wade,19,Other,MSc,Patiala,nlp;kubernetes,Newspaper
326,Danielle Lee,19,Other,BA,Chandigarh,communication,Newspaper
